No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,32	 0,28	-0,04	  692	    1	-128,73	  344
    2	 0,33	 0,29	-0,04	  602	    8	-150,76	  358
    3	 0,31	 0,28	-0,03	  667	    6	-131,92	  346
    4	 0,36	 0,34	-0,02	  924	   33	-92,85	  364
    5	 0,38	 0,35	-0,03	  928	   35	-89,94	  361
    6	 0,35	 0,32	-0,03	  929	   35	-91,71	  359
    7	  0,6	 0,57	-0,03	 1660	  472	-36,39	  375
    8	 0,62	 0,59	-0,02	 1651	  476	-36,06	  376
    9	 0,61	  0,6	-0,01	 1652	  460	-35,15	  372
   10	 0,78	 0,74	-0,04	 2020	  811	-10,68	  382
   11	 0,79	 0,75	-0,04	 2028	  860	-9,62	  378
   12	 0,86	 0,82	-0,04	 2071	  842	-8,82	  377
   13	 1,33	 1,29	-0,03	 2694	 1528	63,33	  379
   14	 1,33	 1,29	-0,03	 2767	 1501	55,33	  365
   15	 1,42	 1,39	-0,03	 2761	 1571	66,58	  368
