No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,65	 1,62	-0,03	 3494	 2172	723,32	  356
    2	 1,75	 1,72	-0,03	 3494	 2047	787,05	  354
    3	 1,94	 1,91	-0,03	 3535	 2114	806,56	  354
    4	 2,05	 2,02	-0,04	 3405	 1982	601,07	  392
    5	 1,97	 1,93	-0,04	 3458	 1994	562,05	  391
    6	 1,99	 1,95	-0,04	 3402	 1976	632,28	  394
    7	 1,86	 1,83	-0,03	 3522	 2005	727,23	  368
    8	 1,86	 1,83	-0,03	 3500	 2003	759,74	  368
    9	 1,91	 1,89	-0,03	 3499	 1992	731,13	  368
   10	 1,33	  1,3	-0,03	 2921	 1619	91,05	  375
   11	 1,39	 1,35	-0,03	 2889	 1612	89,39	  374
   12	 1,36	 1,33	-0,03	 2805	 1568	 77,4	  374
   13	 1,13	 1,09	-0,04	 2503	 1311	25,05	  372
   14	 1,15	 1,11	-0,04	 2511	 1302	28,72	  372
   15	  1,1	 1,07	-0,04	 2467	 1284	29,32	  373
   16	 0,12	 0,13	 0,01	  537	    0	-215,61	  157
   17	 0,09	  0,1	 0,01	  511	    0	-184,57	  159
   18	 0,09	  0,1	 0,01	  531	    0	-201,28	  157
   19	 0,72	 0,68	-0,04	 1773	  605	-27,81	  371
   20	 0,73	  0,7	-0,03	 1759	  591	-26,96	  372
   21	 0,71	 0,68	-0,04	 1764	  625	-28,39	  373
   22	 0,83	  0,8	-0,03	 2008	  804	 8,69	  365
   23	 0,83	 0,79	-0,03	 2064	  860	-4,11	  360
   24	  0,8	 0,77	-0,03	 2087	  826	-2,59	  352
   25	 0,84	 0,82	-0,02	 2189	  843	 1,62	  338
