No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,76	 0,73	-0,03	 2015	  815	-10,95	  376
    2	 0,77	 0,74	-0,03	 2015	  786	-13,07	  378
    3	 0,75	 0,73	-0,02	 1996	  805	-14,4	  381
    4	 0,62	 0,59	-0,03	 1699	  471	-32,81	  349
    5	 0,61	 0,58	-0,03	 1720	  466	-29,17	  342
    6	 0,61	 0,58	-0,04	 1689	  430	-29,37	  341
    7	  0,7	 0,67	-0,03	 1799	  647	-25,15	  369
    8	 0,67	 0,64	-0,03	 1766	  613	-26,12	  368
    9	 0,71	 0,68	-0,03	 1804	  660	-26,77	  367
   10	 0,59	 0,56	-0,03	 1543	  401	-40,16	  380
   11	 0,59	 0,57	-0,03	 1559	  395	-42,37	  381
   12	 0,59	 0,57	-0,02	 1532	  423	-41,46	  380
   13	 0,45	 0,42	-0,03	 1208	  138	-62,12	  369
   14	 0,44	 0,42	-0,03	 1199	  122	-63,98	  366
   15	 0,43	  0,4	-0,03	 1182	  127	-64,3	  369
   16	 0,41	 0,38	-0,03	 1052	   73	-76,6	  360
   17	 0,41	 0,38	-0,03	 1055	   72	-75,83	  358
   18	 0,41	 0,37	-0,03	 1059	   78	-77,57	  358
   19	 0,39	 0,37	-0,02	  986	   55	  -83	  368
   20	  0,4	 0,39	-0,02	  984	   58	-84,55	  370
   21	 0,41	 0,39	-0,02	  998	   65	-82,9	  367
   22	 0,41	 0,38	-0,03	  889	   36	-94,23	  367
   23	 0,41	 0,38	-0,03	  891	   36	-95,62	  365
   24	 0,36	 0,33	-0,03	  795	   17	-104,59	  366
   25	 0,35	 0,32	-0,03	  810	   19	-105,47	  366
   26	 0,32	 0,29	-0,03	  783	   19	-104,59	  366
   27	 0,33	  0,3	-0,03	  670	   14	-126,18	  381
   28	 0,31	 0,29	-0,02	  663	    7	-131,5	  382
   29	 0,32	  0,3	-0,02	  711	    7	-123,42	  367
   30	 0,34	 0,29	-0,04	  600	    8	-150,47	  364
   31	 0,34	  0,3	-0,04	  583	    4	-157,2	  365
   32	 0,34	  0,3	-0,03	  587	    7	-153,12	  365
   33	 0,23	  0,2	-0,03	  468	    0	-305,84	  364
   34	 0,23	  0,2	-0,03	  465	    0	-285,79	  365
   35	 0,23	  0,2	-0,03	  462	    1	-300,11	  363
   36	 0,22	  0,2	-0,02	  465	    1	-274,33	  354
   37	 0,23	 0,22	-0,02	  455	    0	-257,14	  353
   38	 0,22	 0,21	-0,01	  460	    0	-280,06	  353
   39	 0,25	 0,22	-0,03	  466	    0	-260,01	  353
   40	 0,32	 0,31	-0,01	  457	    1	-281,49	  360
   41	 0,34	 0,32	-0,01	  464	    1	-305,84	  360
   42	 0,35	 0,32	-0,03	  464	    1	-281,49	  362
