No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,09	 1,05	-0,03	 2464	 1303	30,39	  375
    2	 1,09	 1,06	-0,03	 2498	 1262	24,81	  373
    3	  1,1	 1,06	-0,03	 2458	 1263	28,61	  376
    4	    1	 0,96	-0,03	 2342	 1099	 13,8	  371
    5	 0,98	 0,94	-0,04	 2353	 1182	13,71	  370
    6	 0,93	 0,89	-0,03	 2346	 1175	12,69	  370
    7	  0,8	 0,76	-0,03	 2106	  975	-5,44	  373
    8	 0,84	 0,81	-0,03	 2124	  958	-4,05	  373
    9	 0,91	 0,87	-0,03	 2127	  936	-4,25	  372
   10	 0,73	  0,7	-0,03	 1934	  732	-15,86	  361
   11	 0,78	 0,75	-0,03	 1951	  736	-14,93	  361
   12	 0,76	 0,73	-0,03	 1964	  731	-15,79	  360
   13	 0,57	 0,55	-0,02	 1603	  412	-38,21	  368
   14	 0,61	 0,57	-0,03	 1588	  414	-38,73	  367
   15	 0,59	 0,56	-0,03	 1607	  426	-40,94	  364
   16	 0,34	 0,34	    0	 1398	   15	-52,06	  223
   17	 0,48	 0,46	-0,02	 1438	  231	-47,96	  350
   18	 0,51	 0,48	-0,03	 1463	  242	-46,36	  350
   19	  0,5	 0,47	-0,03	 1450	  222	-48,09	  350
   20	 0,48	 0,45	-0,02	 1274	  191	-59,75	  364
   21	 0,47	 0,46	-0,02	 1266	  180	-59,88	  366
   22	 0,48	 0,44	-0,04	 1282	  173	-59,69	  351
   23	 0,49	 0,46	-0,03	 1172	  100	-66,62	  357
   24	 0,45	 0,43	-0,03	 1132	  112	-69,34	  358
   25	 0,43	 0,41	-0,02	 1198	  115	-68,17	  348
   26	 0,45	 0,42	-0,03	  961	   47	-87,17	  361
   27	 0,46	 0,43	-0,03	  939	   61	-86,78	  363
   28	 0,46	 0,43	-0,03	  951	   58	-86,78	  361
   29	 0,49	 0,45	-0,04	  960	   59	-85,71	  362
   30	 0,33	  0,3	-0,03	  778	   11	-108,25	  360
   31	 0,32	 0,29	-0,03	  762	   14	-113,21	  364
   32	 0,32	 0,29	-0,03	  751	   15	-112,15	  365
   33	 0,31	 0,27	-0,04	  628	    4	-142,8	  361
   34	 0,31	 0,27	-0,03	  629	    9	-142,51	  361
   35	 0,34	 0,31	-0,03	  629	    6	-146,93	  362
   36	 0,33	 0,29	-0,03	  624	    6	-142,51	  362
   37	 0,25	 0,24	-0,01	  524	    2	-173,7	  355
   38	 0,31	 0,29	-0,02	  542	    6	-174,76	  355
   39	  0,3	 0,25	-0,04	  532	    1	-174,23	  360
   40	 0,23	 0,22	-0,01	  515	    1	-201,28	  353
   41	 0,25	 0,22	-0,03	  510	    1	-221,34	  356
   42	 0,26	 0,23	-0,03	  519	    1	-201,28	  355
   43	 0,25	 0,21	-0,04	  495	    0	-214,17	  357
