No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,26	 1,23	-0,03	 2696	 1432	57,06	  367
    2	  1,2	 1,17	-0,03	 2686	 1463	52,35	  366
    3	 1,26	 1,23	-0,03	 2692	 1442	58,62	  368
    4	 1,34	 1,31	-0,03	 2883	 1602	150,76	  360
    5	  1,4	 1,37	-0,03	 2870	 1560	188,24	  342
    6	 1,38	 1,36	-0,02	 3107	 1642	542,54	  352
    7	 1,49	 1,46	-0,03	 2876	 1586	 77,6	  375
    8	 1,48	 1,45	-0,03	 2905	 1646	84,94	  371
    9	  1,4	 1,36	-0,03	 2844	 1610	85,33	  371
   10	 1,54	  1,5	-0,04	 3018	 1704	135,94	  371
   11	 1,51	 1,48	-0,03	 3035	 1679	111,73	  355
   12	 1,56	 1,53	-0,04	 3069	 1757	159,38	  366
   13	 1,55	 1,52	-0,03	 3067	 1725	300,63	  360
   14	 1,58	 1,55	-0,03	 3109	 1749	170,68	  362
   15	  1,6	 1,57	-0,03	 3099	 1751	244,71	  349
   16	  1,6	 1,56	-0,03	 3116	 1798	209,59	  363
   17	 1,67	 1,64	-0,03	 3112	 1796	172,29	  381
   18	 1,71	 1,68	-0,03	 3161	 1787	175,52	  367
   19	 1,66	 1,62	-0,03	 3162	 1806	259,01	  378
   20	 1,65	 1,62	-0,03	 3138	 1801	301,93	  378
   21	 1,72	 1,69	-0,03	 3176	 1862	214,79	  378
   22	 1,68	 1,65	-0,03	 3291	 1872	355,26	  368
   23	 1,81	 1,78	-0,03	 3267	 1844	415,08	  367
   24	 1,65	 1,62	-0,03	 3255	 1862	402,08	  367
   25	 1,69	 1,66	-0,03	 3208	 1870	386,47	  379
   26	 1,69	 1,65	-0,03	 3218	 1898	377,37	  380
   27	 1,69	 1,65	-0,04	 3179	 1865	357,86	  380
   28	 1,76	 1,73	-0,03	 3316	 1949	504,82	  366
   29	  1,7	 1,67	-0,03	 3363	 1981	471,01	  364
   30	 1,62	 1,59	-0,03	 3309	 1958	480,11	  363
   31	 1,71	 1,68	-0,03	 3244	 1922	507,43	  370
   32	 1,64	 1,61	-0,03	 3262	 1946	471,01	  369
   33	 1,63	  1,6	-0,03	 3274	 1946	473,61	  370
   34	 1,67	 1,64	-0,03	 3262	 1873	417,68	  369
   35	 1,51	 1,47	-0,03	 3318	 2036	589,36	  343
   36	 1,58	 1,55	-0,03	 3393	 1976	604,97	  343
   37	 1,63	 1,61	-0,03	 3359	 1986	517,83	  344
   38	 1,65	 1,62	-0,03	 3202	 1902	330,54	  373
   39	 1,53	  1,5	-0,03	 3209	 1851	317,54	  374
   40	 1,75	 1,72	-0,03	 3339	 1948	404,68	  367
   41	 1,68	 1,65	-0,03	 3291	 1918	408,58	  367
   42	 1,67	 1,64	-0,03	 3279	 1954	478,81	  369
   43	 1,65	 1,61	-0,03	 3246	 1865	407,28	  371
