No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,81	 0,77	-0,04	 2048	  906	-7,83	  377
    2	 0,87	 0,83	-0,03	 2051	  917	-9,16	  377
    3	 0,82	 0,77	-0,04	 2039	  901	-8,29	  378
    4	 1,07	 1,03	-0,04	 2478	 1296	31,45	  373
    5	 1,06	 1,03	-0,03	 2512	 1253	30,39	  360
    6	 1,15	 1,12	-0,03	 2512	 1322	29,91	  367
    7	 1,23	  1,2	-0,04	 2706	 1427	50,94	  370
    8	 1,19	 1,16	-0,03	 2666	 1440	51,88	  374
    9	 1,21	 1,17	-0,04	 2658	 1405	52,19	  372
   10	  1,4	 1,36	-0,04	 2854	 1581	87,84	  377
   11	 1,41	 1,38	-0,04	 2887	 1608	84,75	  378
   12	 1,38	 1,35	-0,03	 2852	 1604	81,08	  378
   13	 1,61	 1,57	-0,03	 3072	 1694	163,41	  371
   14	 1,53	  1,5	-0,03	 3052	 1710	194,68	  374
   15	 1,55	 1,52	-0,03	 3086	 1718	173,1	  373
   16	 1,63	  1,6	-0,03	 3238	 1818	415,08	  373
   17	 1,72	 1,69	-0,03	 3210	 1799	269,42	  372
   18	 1,58	 1,55	-0,03	 3205	 1796	316,24	  370
   19	 1,78	 1,74	-0,04	 3260	 1866	545,14	  392
   20	 1,81	 1,77	-0,03	 3263	 1864	395,57	  393
   21	 1,79	 1,75	-0,04	 3292	 1847	383,87	  393
   22	  1,8	 1,76	-0,04	 3372	 1904	552,95	  390
   23	 1,85	 1,81	-0,04	 3385	 1912	567,25	  390
   24	 1,83	  1,8	-0,03	 3370	 1888	539,94	  390
   25	 1,75	 1,71	-0,04	 3322	 1964	471,01	  379
   26	 1,76	 1,73	-0,04	 3284	 1917	525,63	  383
   27	 1,79	 1,76	-0,04	 3314	 1915	519,13	  385
   28	 1,86	 1,82	-0,04	 3389	 1979	517,83	  385
   29	 1,93	 1,89	-0,04	 3423	 1935	528,24	  378
   30	 1,92	 1,88	-0,04	 3417	 1991	578,96	  364
   31	 1,84	 1,81	-0,03	 3425	 2046	633,58	  389
   32	  1,9	 1,87	-0,03	 3487	 2045	619,28	  386
   33	 1,87	 1,84	-0,03	 3410	 2011	576,36	  388
   34	 1,86	 1,82	-0,03	 3498	 2096	701,21	  381
   35	 1,87	 1,83	-0,04	 3502	 2044	690,81	  380
   36	 1,84	 1,81	-0,04	 3489	 2075	689,51	  380
   37	 1,81	 1,78	-0,03	 3583	 2110	766,24	  361
   38	 1,96	 1,92	-0,03	 3578	 2129	780,55	  366
   39	  1,8	 1,77	-0,03	 3560	 2088	764,94	  365
