0,2	-1177,968265
0,225	-862,0754073
0,25	-677,810982
0,275	-567,5219895
0,3	-498,8073328
0,325	-453,457533
0,35	-421,2388277
0,375	-396,3998228
0,4	-375,7082238
0,425	-357,347475
0,45	-340,2966683
0,475	-323,9820518
0,5	-308,0811754
0,525	-292,4128219
0,55	-276,8751466
0,575	-261,4109128
0,6	-245,9879532
0,625	-230,5881898
0,65	-215,2014628
0,675	-199,8220621
0,7	-184,4467789
0,725	-169,0738097
0,75	-153,702141
0,775	-138,331203
0,8	-122,9606758
0,825	-107,5903792
0,85	-92,22021191
0,875	-76,85011689
0,9	-61,48006158
0,925	-46,11002689
0,95	-30,74000068
0,975	-15,36997335
1	0,00006557
1,025	15,37013156
1,05	30,74025124
1,075	46,1104731
1,1	61,4808872
1,125	76,8516617
1,15	92,22311118
1,175	107,5958244
1,2	122,9709033
1,225	138,3504109
1,25	153,7382089
1,275	169,1415265
1,3	184,5738967
1,325	200,0606528
1,35	215,6492186
1,375	231,4283708
1,4	247,564298
1,425	264,3681032
1,45	282,4221667
1,475	302,8166965
1,5	327,5925469
1,525	360,5701689
1,55	408,9013941
1,575	485,9743525
1,6	616,8514383
