0,2	-1103,890802
0,225	-814,4291171
0,25	-639,6692683
0,275	-531,8855325
0,3	-463,210148
0,325	-417,3707132
0,35	-384,86553
0,375	-360,1464151
0,4	-339,9737017
0,425	-322,4557
0,45	-306,4878239
0,475	-291,4250893
0,5	-276,8908804
0,525	-262,6652854
0,55	-248,6198946
0,575	-234,6797277
0,6	-220,8010024
0,625	-206,9581534
0,65	-193,1362527
0,675	-179,3265832
0,7	-165,5240543
0,725	-151,7256924
0,75	-137,9297596
0,775	-124,1352381
0,8	-110,3415287
0,825	-96,54827303
0,85	-82,75524738
0,875	-68,96229648
0,9	-55,16928762
0,925	-41,3760716
0,95	-27,58243899
0,975	-13,78805886
1	0,0076179
1,025	13,80551896
1,05	27,60722146
1,075	41,41541253
1,1	55,23467391
1,125	69,07281986
1,15	82,94317887
1,175	96,86848552
1,2	110,8875189
1,225	125,0664262
1,25	139,518037
1,275	154,4348097
1,3	170,1450284
1,325	187,2086609
1,35	206,580868
1,375	229,8909067
1,4	259,9178689
1,425	301,4021672
1,45	362,4297207
1,475	456,7930188
1,5	608,0184847
1,525	856,2361183
1,55	1269,897332
1,575	1965,76255
1,6	3142,994893
