0,2	-1164,418537
0,225	-902,7463802
0,25	-732,0083449
0,275	-618,6038216
0,3	-541,3477931
0,325	-486,8832109
0,35	-446,7885224
0,375	-415,7539806
0,4	-390,4318163
0,425	-368,7112776
0,45	-349,2615459
0,475	-331,2435469
0,5	-314,1282481
0,525	-297,5820974
0,55	-281,3947917
0,575	-265,433736
0,6	-249,6153297
0,625	-233,8868633
0,65	-218,2151035
0,675	-202,579097
0,7	-186,9656326
0,725	-171,366381
0,75	-155,7760905
0,775	-140,19145
0,8	-124,6103716
0,825	-109,0315393
0,85	-93,45412297
0,875	-77,87759951
0,9	-62,30163898
0,925	-46,72603337
0,95	-31,15065153
0,975	-15,57541078
1	-0,000258987
1,025	15,57483673
1,05	31,14989711
1,075	46,72493525
1,1	62,29995944
1,125	77,87497504
1,15	93,44998568
1,175	109,0249942
1,2	124,6000038
1,225	140,1750194
1,25	155,7500512
1,275	171,3251217
1,3	186,9002817
1,325	202,4756476
1,35	218,0514858
1,375	233,6284073
1,4	249,2078125
1,425	264,7929123
1,45	280,3910685
1,475	296,0191598
1,5	311,7158846
1,525	327,5699685
1,55	343,7848368
1,575	360,826892
1,6	379,7654761

