No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,98	 0,95	-0,03	 2287	 1204	 8,43	  351
    2	 0,96	 0,93	-0,03	 2265	 1165	 7,41	  351
    3	 0,99	 0,96	-0,03	 2237	 1162	 8,43	  352
    4	    1	 0,97	-0,03	 2420	 1287	16,52	  332
    5	 1,07	 1,03	-0,03	 2420	 1272	17,89	  334
    6	 0,95	 0,92	-0,04	 2378	 1262	 27,3	  333
    7	 0,94	 0,92	-0,02	 2146	 1055	-0,53	  357
    8	 0,99	 0,95	-0,03	 2164	 1037	-1,19	  358
    9	 0,99	 0,96	-0,03	 2140	 1061	-2,59	  358
   10	 1,11	 1,08	-0,04	 2434	 1370	 24,1	  361
   11	 1,13	  1,1	-0,03	 2429	 1342	18,99	  361
   12	 1,06	 1,03	-0,03	 2413	 1360	21,46	  360
   13	 0,93	  0,9	-0,03	 2243	 1142	 7,67	  348
   14	 0,91	 0,88	-0,03	 2255	 1198	 4,85	  348
   15	 0,96	 0,93	-0,03	 2259	 1185	 6,73	  349
