No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,97	 0,93	-0,03	 2227	 1145	 0,17	  359
    2	 0,96	 0,94	-0,03	 2192	 1106	 0,77	  359
    3	 0,98	 0,95	-0,03	 2190	 1155	 2,47	  360
    4	 1,07	 1,04	-0,03	 2431	 1360	19,84	  348
    5	 1,07	 1,04	-0,03	 2409	 1310	19,59	  347
    6	 1,07	 1,04	-0,03	 2400	 1260	17,89	  350
    7	 0,89	 0,85	-0,03	 2015	  928	-10,22	  368
    8	  0,9	 0,87	-0,03	 2007	  932	-11,48	  369
    9	 0,91	 0,88	-0,03	 2017	  898	-11,41	  368
   10	 1,03	    1	-0,03	 2468	 1304	26,59	  337
   11	 1,02	 0,99	-0,03	 2437	 1320	23,62	  336
   12	 1,09	 1,05	-0,03	 2480	 1330	27,18	  337
   13	 0,92	 0,89	-0,03	 2226	 1148	 7,92	  354
   14	 0,98	 0,94	-0,03	 2239	 1208	 7,15	  351
   15	 0,98	 0,95	-0,03	 2224	 1141	 6,22	  350
