No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,18	 2,16	-0,03	 3655	 2181	922,32	  374
    2	 2,29	 2,26	-0,02	 3675	 2189	874,19	  374
    3	 2,15	 2,13	-0,02	 3663	 2185	945,73	  376
    4	  2,7	 2,67	-0,03	 4047	 2361	1489,37	  335
    5	 2,68	 2,65	-0,03	 4030	 2389	1489,37	  341
    6	 2,55	 2,51	-0,03	 4002	 2417	1460,76	  343
    7	  2,6	 2,57	-0,03	 3829	 2193	1164,23	  358
    8	  2,5	 2,48	-0,03	 3744	 2170	1049,77	  364
    9	  2,6	 2,57	-0,03	 3782	 2218	1031,57	  369
   10	 2,69	 2,65	-0,04	 4086	 2432	1428,25	  361
   11	 2,55	 2,52	-0,03	 4056	 2481	1450,36	  361
   12	 2,64	 2,61	-0,03	 4060	 2380	1463,36	  361
   13	 2,53	  2,5	-0,03	 3968	 2280	1459,46	  361
   14	 2,69	 2,66	-0,03	 4057	 2306	1402,23	  360
   15	 2,62	  2,6	-0,02	 3995	 2290	1354,11	  361
   16	 2,67	 2,65	-0,03	 4049	 2326	1537,5	  362
