No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	  2,5	 2,48	-0,03	 4119	 2426	1620,73	  338
    2	  2,4	 2,38	-0,02	 4166	 2406	1545,3	  338
    3	 2,55	 2,53	-0,02	 4153	 2473	1498,48	  338
    4	 2,59	 2,58	-0,01	 4132	 2351	1394,43	  338
    5	 2,55	 2,54	-0,01	 4084	 2353	1417,84	  340
    6	 2,32	  2,3	-0,02	 3880	 2264	1256,57	  340
    7	 2,58	 2,56	-0,02	 3854	 2281	1188,94	  339
    8	 2,47	 2,44	-0,03	 3844	 2328	1220,15	  339
    9	 2,51	 2,49	-0,02	 3876	 2250	1242,26	  339
   10	 2,06	 2,03	-0,02	 3591	 2161	810,46	  334
   11	 2,12	 2,09	-0,03	 3622	 2135	845,58	  334
   12	 2,04	 2,03	-0,02	 3613	 2185	848,18	  333
   13	  1,7	 1,67	-0,03	 3171	 1921	311,04	  331
   14	 1,72	  1,7	-0,03	 3175	 1902	387,77	  332
   15	 1,65	 1,63	-0,03	 3210	 1954	278,52	  331
   16	 1,44	 1,42	-0,02	 3040	 1826	135,94	  329
   17	 1,42	  1,4	-0,02	 3070	 1830	125,64	  330
   18	 1,43	  1,4	-0,03	 3028	 1839	139,52	  329
   19	 1,37	 1,34	-0,02	 2925	 1686	85,72	  327
   20	 1,24	 1,21	-0,03	 2872	 1710	98,03	  328
   21	  1,3	 1,28	-0,03	 2912	 1730	 86,1	  326
   22	 1,08	 1,05	-0,03	 2725	 1527	64,74	  326
   23	  1,1	 1,08	-0,02	 2725	 1581	 59,1	  326
   24	 1,09	 1,08	-0,02	 2721	 1564	58,94	  326
   25	 0,96	 0,95	-0,02	 2575	 1371	34,77	  325
   26	    1	 0,98	-0,03	 2564	 1312	35,72	  325
   27	 1,05	 1,02	-0,03	 2566	 1379	36,43	  325
   28	 0,89	 0,87	-0,02	 2372	 1097	17,46	  325
   29	 0,87	 0,85	-0,02	 2378	 1136	16,44	  325
   30	 0,91	  0,9	-0,01	 2367	 1130	20,27	  324
   31	 0,85	 0,82	-0,03	 2194	  966	 4,77	  324
   32	 0,85	 0,82	-0,03	 2200	  961	 4,26	  323
   33	 0,89	 0,86	-0,02	 2186	  924	 1,11	  323
