No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,53	 0,52	-0,01	 2026	  397	-9,89	  215
    2	 0,56	 0,55	-0,01	 2000	  367	-7,76	  215
    3	 0,56	 0,55	-0,01	 2030	  385	-9,75	  212
    4	 0,92	  0,9	-0,02	 2068	 1005	 -6,5	  363
    5	 1,03	    1	-0,03	 2199	 1075	-1,59	  354
    6	 0,92	  0,9	-0,02	 2178	 1056	-1,06	  353
    7	 0,82	 0,78	-0,03	 1964	  806	-14,93	  351
    8	 0,82	  0,8	-0,02	 1932	  776	-15,19	  351
    9	 0,81	 0,78	-0,03	 1918	  777	-19,24	  352
   10	 0,92	 0,89	-0,02	 2300	 1170	 6,98	  334
   11	  0,9	 0,88	-0,02	 2246	 1132	 9,71	  335
   12	 0,92	 0,89	-0,03	 2213	 1097	 5,37	  335
   13	 0,92	 0,89	-0,03	 2100	 1027	 1,28	  353
   14	 0,88	 0,85	-0,03	 2094	 1010	-5,64	  355
   15	 0,87	 0,84	-0,03	 2073	 1027	-7,83	  354
