No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,27	 1,24	-0,03	 2600	 1511	44,51	  361
    2	  1,2	 1,17	-0,03	 2603	 1525	42,48	  361
    3	 1,24	 1,21	-0,03	 2616	 1517	42,13	  359
    4	 1,34	 1,32	-0,02	 2798	 1658	58,62	  358
    5	 1,37	 1,36	-0,02	 2754	 1652	67,16	  358
    6	  1,4	 1,38	-0,02	 2738	 1672	78,37	  363
    7	 1,16	 1,13	-0,03	 2652	 1515	48,74	  354
    8	 1,28	 1,24	-0,03	 2672	 1529	48,58	  355
    9	 1,24	 1,21	-0,02	 2631	 1515	45,13	  356
   10	 1,86	 1,84	-0,02	 3118	 1896	204,39	  372
   11	 1,93	 1,91	-0,03	 3088	 1897	194,68	  372
   12	  1,8	 1,77	-0,03	 3110	 1886	187,17	  372
   13	 2,15	 2,13	-0,03	 3344	 2022	524,33	  375
   14	 1,92	  1,9	-0,03	 3343	 2012	508,73	  374
   15	 2,03	 2,01	-0,02	 3367	 1965	520,43	  373
