No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,96	 0,93	-0,03	 2101	 1062	-5,77	  365
    2	 0,91	 0,88	-0,03	 2087	 1055	-6,83	  366
    3	 0,89	 0,86	-0,03	 2075	 1018	-6,17	  367
    4	 0,95	 0,92	-0,03	 2294	 1102	 1,53	  327
    5	 0,97	 0,94	-0,03	 2144	 1056	21,04	  355
    6	 0,93	 0,91	-0,02	 2254	 1078	 4,09	  320
    7	 0,51	 0,51	   -0	 1978	  320	-11,54	  219
    8	 0,51	 0,51	   -0	 1970	  326	-13,14	  217
    9	 0,53	 0,53	-0,01	 1989	  306	-12,54	  216
   10	 0,62	 0,62	    0	 2339	  604	18,57	  201
   11	 0,57	 0,58	 0,01	 2246	  508	 8,52	  197
   12	 0,53	 0,54	 0,01	 2224	  460	 3,66	  196
   13	 0,45	 0,46	 0,01	 1774	  154	-25,86	  187
   14	 0,41	 0,42	 0,01	 1747	  126	-27,81	  186
   15	 0,42	 0,43	 0,01	 1758	  124	-28,78	  185
