No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,59	 2,57	-0,02	 3952	 2362	1233,16	  316
    2	 2,72	  2,7	-0,02	 4042	 2402	1364,52	  317
    3	 2,75	 2,72	-0,03	 4031	 2351	1372,32	  317
    4	 2,32	  2,3	-0,02	 4063	 2364	1511,48	  287
    5	  2,3	 2,28	-0,02	 4026	 2392	1420,44	  287
    6	 2,37	 2,35	-0,02	 4037	 2402	1355,41	  287
    7	 1,98	 1,96	-0,02	 3853	 2330	1226,65	  287
    8	    2	 1,99	-0,02	 3795	 2339	1135,61	  288
    9	 1,96	 1,95	-0,02	 3791	 2351	1175,93	  288
   10	 1,53	 1,51	-0,01	 4206	 2709	1654,55	  224
   11	 1,78	 1,76	-0,03	 4156	 2623	1614,23	  248
   12	 2,02	 1,99	-0,03	 3906	 2335	1348,91	  280
   13	 2,52	  2,5	-0,02	 4043	 2370	1455,56	  336
   14	 2,45	 2,42	-0,03	 4057	 2395	1346,31	  335
   15	 2,56	 2,53	-0,02	 4030	 2369	1473,77	  335
   16	 2,78	 2,75	-0,03	 4137	 2415	1490,68	  335
