No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,15	 1,13	-0,02	 2859	 1777	84,36	  344
    2	 1,17	 1,14	-0,03	 2881	 1744	84,94	  345
    3	  1,1	 1,08	-0,02	 2830	 1803	93,05	  345
    4	  1,3	 1,27	-0,03	 2987	 1862	121,47	  346
    5	 1,32	 1,29	-0,03	 3023	 1919	116,25	  346
    6	 1,22	  1,2	-0,02	 2970	 1908	120,43	  347
    7	 1,62	 1,59	-0,02	 3209	 2065	394,27	  346
    8	 1,58	 1,56	-0,03	 3234	 1990	351,35	  346
    9	 1,62	 1,58	-0,03	 3198	 2054	381,27	  346
   10	 2,06	 2,04	-0,03	 3544	 2165	819,57	  348
   11	 2,12	 2,08	-0,03	 3539	 2207	733,73	  348
   12	 1,91	 1,88	-0,03	 3503	 2204	714,22	  348
   13	 2,56	 2,54	-0,02	 3899	 2327	1246,16	  347
   14	 2,48	 2,45	-0,02	 3901	 2318	1217,55	  347
   15	 2,57	 2,55	-0,02	 3918	 2305	1311,19	  348
   16	  2,8	 2,78	-0,02	 4223	 2389	1694,87	  346
   17	 2,95	 2,93	-0,02	 4213	 2372	1664,96	  347
   18	 2,83	 2,81	-0,02	 4221	 2411	1585,62	  347
   19	 2,82	  2,8	-0,02	 4354	 2511	1949,79	  346
   20	  2,8	 2,77	-0,03	 4318	 2488	1856,14	  346
   21	 2,87	 2,86	-0,01	 4339	 2472	1879,55	  346
   22	 3,02	    3	-0,02	 4484	 2508	1863,95	  344
   23	 3,01	 2,98	-0,03	 4517	 2570	1970,59	  345
   24	    3	 2,97	-0,03	 4420	 2503	1892,56	  344
   25	 2,96	 2,94	-0,03	 4519	 2575	1987,5	  342
   26	 2,86	 2,84	-0,02	 4556	 2633	1971,9	  342
   27	  2,7	 2,68	-0,02	 4408	 2571	  NaN	  343
   28	 2,72	  2,7	-0,02	 4525	 2683	  NaN	  328
   29	 2,66	 2,64	-0,02	 4579	 2721	  NaN	  329
   30	 2,82	 2,79	-0,02	 4614	 2745	  NaN	  331
   31	 2,51	 2,49	-0,02	 4684	 2906	  NaN	  311
   32	 2,57	 2,54	-0,02	 4713	 2906	  NaN	  314
   33	 2,29	 2,27	-0,02	 4656	 2878	  NaN	  314
