No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,13	  2,1	-0,03	 3609	 2241	1032,87	  367
    2	 2,31	 2,27	-0,03	 3686	 2158	988,65	  370
    3	 2,29	 2,27	-0,02	 3736	 2184	952,23	  368
    4	 2,61	 2,58	-0,03	 4171	 2429	  NaN	  330
    5	  2,7	 2,67	-0,03	 4234	 2461	1645,45	  331
    6	 2,79	 2,75	-0,04	 4216	 2500	1662,35	  330
    7	 2,54	  2,5	-0,04	 3780	 2178	1069,28	  376
    8	 2,63	 2,59	-0,04	 3808	 2196	1008,15	  377
    9	 2,62	 2,59	-0,03	 3781	 2226	1105,7	  376
   10	 2,76	 2,74	-0,02	 4069	 2425	1533,59	  369
   11	 2,89	 2,87	-0,02	 4161	 2400	1488,07	  370
   12	 2,72	  2,7	-0,02	 4051	 2368	1494,58	  365
   13	 2,91	 2,89	-0,02	 4000	 2278	1320,3	  371
   14	  2,7	 2,68	-0,02	 3981	 2253	1337,21	  373
   15	 2,75	 2,73	-0,02	 3948	 2179	1335,9	  374
