No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,18	 1,17	-0,01	 2614	 1512	43,55	  359
    2	 1,25	 1,23	-0,01	 2631	 1523	46,23	  361
    3	 1,18	 1,16	-0,01	 2601	 1498	51,57	  362
    4	 1,35	 1,33	-0,02	 2817	 1757	71,99	  356
    5	 1,37	 1,36	-0,02	 2809	 1747	 74,5	  357
    6	 1,45	 1,42	-0,02	 2824	 1758	74,31	  359
    7	 1,29	 1,26	-0,03	 2745	 1582	61,29	  360
    8	 1,26	 1,24	-0,02	 2715	 1569	57,06	  357
    9	 1,38	 1,35	-0,03	 2711	 1582	56,59	  357
   10	 1,82	 1,79	-0,03	 2936	 1788	110,69	  372
   11	 1,67	 1,64	-0,04	 2939	 1782	 88,4	  360
   12	 1,86	 1,83	-0,03	 2906	 1739	107,34	  373
   13	 1,77	 1,74	-0,03	 3089	 1862	157,77	  373
   14	 1,75	 1,72	-0,02	 3034	 1900	190,39	  373
   15	 1,79	 1,78	-0,01	 3095	 1860	177,5	  374
