No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,04	 0,04	   -0	  126	    0	  NaN	  249
    2	 0,05	 0,05	   -0	  160	    0	  NaN	  249
    3	 0,06	 0,06	   -0	  201	    0	  NaN	  250
    4	 0,08	 0,08	   -0	  256	    0	  NaN	  250
    5	  0,1	 0,09	   -0	  323	    0	  NaN	  252
    6	 0,12	 0,12	   -0	  401	    0	  NaN	  250
    7	 0,15	 0,14	-0,01	  514	    0	  NaN	  250
    8	  0,2	 0,19	-0,01	  658	    1	  NaN	  250
    9	 0,24	 0,23	-0,01	  816	    1	  NaN	  250
   10	 0,32	 0,31	-0,01	 1015	    7	  NaN	  250
   11	 0,37	 0,35	-0,01	 1282	   37	  NaN	  252
   12	 0,47	 0,46	-0,01	 1626	  133	  NaN	  247
   13	 0,76	 0,73	-0,04	 2533	 1008	  NaN	  250
   14	 0,75	 0,69	-0,05	 2519	 1023	  NaN	  248
   15	 0,95	 0,91	-0,04	 3163	 1915	  NaN	  249
   16	 1,76	 1,06	 -0,7	 3765	 3161	  NaN	  249
   17	 1,48	 1,42	-0,06	 5064	 4513	  NaN	  249
   18	 1,78	  1,7	-0,08	 6321	 5837	  NaN	  250
   19	 2,22	 2,16	-0,06	 7964	 7014	  NaN	  245
   20	 2,94	 2,85	 -0,1	 9835	 8132	  NaN	  249
   21	 3,29	 3,16	-0,13	12588	 9143	  NaN	  242
   22	 3,22	 3,19	-0,03	13647	 9399	  NaN	  199
   23	 3,47	 3,44	-0,03	16606	10545	  NaN	  196
   24	 4,14	 3,99	-0,15	19682	11651	  NaN	  196
   25	 4,76	 4,88	 0,12	25862	13589	  NaN	  190
   26	 5,05	 4,91	-0,14	26383	14129	  NaN	  185
   27	 5,07	 4,89	-0,18	26839	14508	  NaN	  183
   28	 4,65	  4,7	 0,05	26382	14416	  NaN	  171
   29	 5,35	 4,87	-0,48	25759	14643	  NaN	  171
   30	 4,44	 4,18	-0,26	23203	14500	  NaN	  174
   31	 4,15	 3,55	 -0,6	19383	14637	  NaN	  171
