No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,06	 1,02	-0,04	 2685	 1547	61,61	  314
    2	 1,09	 1,06	-0,04	 2731	 1535	60,51	  315
    3	 1,15	 1,12	-0,03	 2746	 1540	59,25	  313
    4	 1,15	 1,12	-0,03	 2887	 1576	88,06	  272
    5	 1,19	 1,16	-0,03	 2852	 1541	78,18	  273
    6	 1,08	 1,06	-0,02	 2845	 1571	89,06	  273
    7	 1,09	 1,07	-0,02	 2677	 1423	 55,8	  262
    8	 1,03	 1,01	-0,02	 2708	 1401	52,82	  263
    9	 1,06	 1,04	-0,01	 2647	 1420	58,15	  263
   10	  1,3	 1,28	-0,03	 3067	 1801	158,57	  263
   11	 1,31	 1,27	-0,03	 3019	 1800	156,96	  263
   12	 0,69	 0,69	 0,01	 2710	 1122	72,18	  172
   13	 0,66	 0,67	 0,01	 2665	 1118	61,45	  170
   14	 0,68	 0,68	 0,01	 2627	 1067	46,39	  171
   15	 0,65	 0,66	 0,01	 2525	  960	39,28	  169
