No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	  0,8	 0,78	-0,02	 2170	  930	-3,18	  322
    2	 0,79	 0,77	-0,02	 2166	  945	 -0,6	  322
    3	 0,83	 0,81	-0,02	 2157	  950	   -1	  324
    4	 0,99	 0,96	-0,03	 2564	 1384	 31,1	  325
    5	 1,08	 1,05	-0,04	 2564	 1403	37,03	  325
    6	 1,07	 1,05	-0,02	 2563	 1349	35,13	  327
    7	 1,12	  1,1	-0,02	 2720	 1538	60,04	  327
    8	 1,18	 1,17	-0,01	 2717	 1522	55,64	  327
    9	 1,13	 1,11	-0,02	 2717	 1535	62,23	  325
   10	 1,37	 1,34	-0,03	 2853	 1648	89,06	  331
   11	 1,29	 1,27	-0,03	 2909	 1729	103,68	  328
   12	 1,33	  1,3	-0,02	 2893	 1693	93,05	  328
   13	 1,48	 1,46	-0,02	 3004	 1783	145,65	  330
   14	 1,48	 1,46	-0,03	 2995	 1803	144,12	  329
   15	 1,46	 1,44	-0,03	 3047	 1826	136,45	  330
   16	 1,72	  1,7	-0,02	 3178	 1904	327,94	  332
   17	 1,73	 1,72	-0,01	 3174	 1901	327,94	  332
   18	 1,67	 1,64	-0,02	 3190	 1936	314,94	  332
   19	 2,35	 2,33	-0,02	 3635	 2161	865,09	  334
   20	 2,26	 2,25	-0,01	 3620	 2112	892,4	  335
   21	 2,34	 2,31	-0,02	 3686	 2188	887,2	  335
   22	  2,5	 2,47	-0,03	 3949	 2263	1277,38	  339
   23	 2,52	  2,5	-0,02	 3938	 2269	1278,68	  338
   24	  2,6	 2,58	-0,02	 3935	 2254	1244,86	  338
   25	 2,61	 2,61	   -0	 4070	 2346	1463,36	  337
   26	 2,56	 2,54	-0,02	 4068	 2357	1476,37	  337
   27	 2,46	 2,45	-0,02	 4076	 2354	1398,33	  338
   28	 2,45	 2,42	-0,03	 4144	 2444	1558,31	  338
   29	 2,27	 2,24	-0,03	 4095	 2379	1585,62	  338
   30	 2,49	 2,46	-0,03	 4132	 2424	1610,33	  338
