No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,16	 1,13	-0,03	 2823	 1818	81,46	  383
    2	 1,21	 1,17	-0,03	 2813	 1782	75,86	  383
    3	 1,17	 1,14	-0,03	 2810	 1741	73,54	  383
    4	 1,37	 1,33	-0,04	 2910	 1916	112,43	  385
    5	  1,4	 1,37	-0,03	 2964	 1874	111,73	  386
    6	  1,4	 1,37	-0,03	 2959	 1899	94,05	  386
    7	 2,01	 1,98	-0,03	 3292	 2063	478,81	  388
    8	 2,01	 1,99	-0,02	 3286	 2086	416,38	  388
    9	    2	 1,98	-0,03	 3286	 2039	486,62	  388
   10	 2,32	 2,29	-0,03	 3482	 2078	741,53	  389
   11	 2,26	 2,23	-0,04	 3486	 2079	664,8	  390
   12	 2,46	 2,42	-0,04	 3517	 2080	702,51	  390
   13	 2,71	 2,68	-0,03	 3745	 2175	1067,98	  391
   14	 2,94	  2,9	-0,04	 3752	 2144	1025,06	  392
   15	 2,81	 2,78	-0,03	 3752	 2119	1048,47	  393
   16	 3,08	 3,05	-0,02	 4041	 2218	1455,56	  391
   17	 3,05	 3,02	-0,02	 4010	 2218	1517,99	  391
   18	 3,06	 3,03	-0,04	 4024	 2238	1465,96	  392
   19	 2,98	 2,95	-0,03	 4037	 2201	1324,2	  392
   20	 3,04	    3	-0,04	 4029	 2232	1445,15	  392
   21	 3,22	 3,19	-0,03	 4063	 2223	1345,01	  392
   22	 3,13	  3,1	-0,03	 4171	 2245	1480,27	  392
   23	 3,14	 3,11	-0,03	 4085	 2246	1473,77	  392
   24	 3,03	    3	-0,03	 4118	 2238	1515,39	  391
   25	 3,26	 3,22	-0,04	 4136	 2293	1530,99	  391
   26	 3,06	 3,04	-0,02	 4088	 2340	1554,4	  391
   27	 2,94	 2,91	-0,02	 4177	 2282	1594,72	  391
   28	 2,87	 2,84	-0,02	 4167	 2376	1690,97	  387
   29	 3,11	 3,08	-0,03	 4222	 2367	1701,37	  387
   30	 3,11	 3,09	-0,02	 4289	 2368	1655,85	  387
   31	 2,89	 2,87	-0,02	 4197	 2436	1584,32	  385
   32	 2,82	 2,79	-0,03	 4149	 2430	1714,38	  384
   33	  2,9	 2,87	-0,03	 4202	 2434	1619,43	  384
   34	 2,58	 2,55	-0,03	 4122	 2469	1586,92	  383
   35	 2,67	 2,64	-0,03	 4148	 2506	1637,64	  382
   36	 2,67	 2,64	-0,03	 4216	 2475	1623,34	  381
