No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,97	 0,94	-0,03	 2325	 1233	 11,5	  352
    2	 1,04	 1,01	-0,03	 2309	 1190	11,67	  346
    3	 0,97	 0,94	-0,03	 2190	 1167	 5,62	  361
    4	 0,98	 0,97	-0,02	 2472	 1290	25,17	  310
    5	 1,05	 1,02	-0,03	 2482	 1298	26,35	  313
    6	    1	 0,97	-0,03	 2475	 1316	23,27	  316
    7	 0,85	 0,82	-0,03	 2060	  928	-5,44	  351
    8	 0,86	 0,83	-0,03	 2051	  912	-5,71	  349
    9	 0,86	 0,83	-0,03	 2059	  932	-7,83	  349
   10	 1,04	 1,01	-0,04	 2364	 1259	 13,8	  353
   11	 0,98	 0,95	-0,04	 2343	 1229	15,42	  356
   12	  1,1	 1,06	-0,04	 2376	 1246	15,84	  355
   13	 0,43	 0,44	    0	 1897	  215	-17,05	  183
   14	 0,41	 0,42	    0	 1871	  173	-18,91	  182
   15	 0,44	 0,45	 0,01	 1841	  191	-21,43	  181
