No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 3,11	 3,08	-0,03	 4241	 2365	1631,14	  364
    2	 3,15	 3,11	-0,04	 4288	 2452	1690,97	  363
    3	 3,05	 3,02	-0,04	 4234	 2395	1779,41	  364
    4	 2,79	 2,76	-0,03	 4229	 2405	1661,05	  360
    5	 3,09	 3,06	-0,03	 4199	 2408	1815,82	  360
    6	 2,89	 2,86	-0,03	 4160	 2379	1568,71	  360
    7	 2,59	 2,56	-0,02	 4126	 2362	1572,61	  372
    8	  2,8	 2,77	-0,03	 4140	 2356	1567,41	  371
    9	  2,8	 2,78	-0,02	 4252	 2411	1516,69	  356
   10	 2,53	  2,5	-0,03	 4207	 2428	1677,96	  368
   11	 2,48	 2,44	-0,03	 4177	 2474	1633,74	  367
   12	 2,51	 2,48	-0,03	 4175	 2446	1559,61	  367
   13	 2,69	 2,65	-0,04	 4156	 2400	1642,84	  372
   14	 2,69	 2,66	-0,03	 4227	 2371	1629,84	  371
   15	 2,72	  2,7	-0,02	 4229	 2393	1597,32	  371
