No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,64	 2,61	-0,03	 3957	 2271	1300,79	  389
    2	 2,73	 2,69	-0,04	 3974	 2287	 1319	  388
    3	 2,74	 2,71	-0,03	 3961	 2319	1345,01	  384
    4	 2,82	 2,79	-0,04	 4280	 2524	1752,09	  360
    5	 2,95	 2,92	-0,03	 4341	 2432	1759,9	  362
    6	 2,94	 2,91	-0,03	 4291	 2527	1767,7	  362
    7	 2,62	  2,6	-0,03	 4148	 2327	1566,11	  342
    8	 2,84	 2,81	-0,03	 4088	 2346	1514,09	  343
    9	 2,65	 2,62	-0,03	 4109	 2334	1590,82	  343
   10	 2,79	 2,75	-0,03	 4398	 2549	1861,34	  363
   11	 2,74	 2,72	-0,02	 4376	 2481	1813,22	  364
   12	 2,64	 2,62	-0,02	 4352	 2557	1892,56	  365
   13	 2,52	 2,49	-0,03	 4141	 2409	1641,54	  376
   14	 2,55	 2,53	-0,03	 4152	 2314	1547,9	  376
   15	 2,66	 2,64	-0,02	 4196	 2380	1560,91	  378
