No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,93	  2,9	-0,03	 4161	 2302	1641,54	  397
    2	  3,2	 3,17	-0,03	 4281	 2334	1625,94	  397
    3	 3,09	 3,05	-0,04	 4172	 2367	1584,32	  396
    4	  2,9	 2,88	-0,02	 3874	 2168	1190,24	  405
    5	 2,76	 2,74	-0,02	 3893	 2144	1175,93	  403
    6	 2,85	 2,83	-0,02	 3853	 2236	1146,02	  403
    7	 2,73	  2,7	-0,02	 3811	 2151	1083,59	  403
    8	 2,96	 2,94	-0,03	 3854	 2121	1153,82	  404
    9	 2,65	 2,62	-0,03	 3770	 2154	1118,71	  402
   10	 1,66	 1,62	-0,03	 3131	 2006	201,79	  398
   11	 1,67	 1,63	-0,04	 3119	 1970	195,76	  398
   12	  1,7	 1,66	-0,04	 3132	 1976	217,39	  398
   13	 1,24	  1,2	-0,04	 2818	 1771	72,96	  392
   14	 1,18	 1,14	-0,03	 2811	 1758	71,22	  393
   15	  1,2	 1,16	-0,03	 2787	 1848	78,95	  393
