No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,31	 0,29	-0,02	  715	   14	-120,44	  328
    2	 0,33	  0,3	-0,03	  711	   18	-118,53	  329
    3	 0,32	  0,3	-0,03	  716	   20	-120,65	  329
    4	 0,36	 0,34	-0,02	  804	   27	-104,21	  335
    5	 0,37	 0,34	-0,03	  806	   46	-104,71	  334
    6	 0,37	 0,34	-0,03	  795	   43	-104,71	  334
    7	 0,43	  0,4	-0,03	  901	   78	-90,57	  336
    8	 0,43	 0,41	-0,02	  916	  103	-91,46	  337
    9	 0,43	 0,41	-0,03	  889	   74	-93,22	  337
   10	 0,49	 0,48	-0,01	 1070	  182	-76,31	  341
   11	 0,45	 0,44	-0,02	 1048	  164	-75,15	  341
   12	  0,5	 0,47	-0,02	 1055	  168	-77,86	  340
   13	 0,54	 0,52	-0,02	 1285	  319	-58,66	  338
   14	 0,57	 0,54	-0,03	 1276	  298	-58,66	  338
   15	 0,58	 0,55	-0,03	 1275	  315	-59,04	  337
   16	 0,69	 0,67	-0,02	 1569	  570	  -41	  343
   17	 0,66	 0,64	-0,02	 1561	  524	-40,22	  343
   18	 0,68	 0,65	-0,02	 1573	  526	-39,38	  342
   19	 0,75	 0,72	-0,03	 1839	  740	-19,9	  348
   20	 0,83	 0,79	-0,03	 1864	  776	-21,43	  349
   21	 0,75	 0,74	-0,01	 1882	  786	-21,5	  349
   22	 0,82	 0,79	-0,03	 1951	  838	-13,34	  353
   23	 0,84	 0,81	-0,03	 1994	  877	-13,27	  353
   24	 0,87	 0,85	-0,03	 2001	  914	-11,94	  352
