No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,75	 0,73	-0,02	 2015	  816	-8,56	  327
    2	 0,78	 0,75	-0,02	 2067	  866	-8,23	  327
    3	  0,8	 0,78	-0,02	 2085	  825	-7,76	  327
    4	 0,79	 0,76	-0,03	 2001	  812	-11,68	  326
    5	 0,82	 0,79	-0,02	 2034	  753	-10,55	  324
    6	 0,79	 0,77	-0,03	 1967	  758	-12,01	  325
    7	 0,73	 0,71	-0,02	 1782	  605	-25,41	  329
    8	 0,72	  0,7	-0,02	 1781	  579	-25,86	  328
    9	 0,69	 0,66	-0,02	 1763	  607	-26,77	  328
   10	 0,68	 0,66	-0,03	 1620	  457	-36,84	  328
   11	 0,68	 0,66	-0,03	 1609	  461	-37,3	  327
   12	 0,66	 0,64	-0,03	 1620	  497	-36,78	  327
   13	 0,66	 0,64	-0,02	 1476	  379	-47,13	  326
   14	 0,63	 0,61	-0,02	 1464	  375	-46,43	  326
   15	 0,67	 0,64	-0,03	 1489	  375	-47,71	  325
   16	  0,6	 0,57	-0,02	 1318	  302	-56,99	  325
   17	 0,61	 0,58	-0,03	 1321	  288	-55,39	  324
   18	 0,59	 0,55	-0,03	 1330	  277	-55,33	  325
   19	 0,56	 0,54	-0,02	 1197	  226	-64,11	  328
   20	 0,52	  0,5	-0,02	 1188	  201	-63,46	  327
   21	 0,53	 0,51	-0,03	 1186	  232	-64,23	  328
   22	 0,51	 0,49	-0,02	 1092	  150	-72,15	  327
   23	 0,49	 0,47	-0,02	 1086	  164	-73,7	  326
   24	  0,5	 0,48	-0,02	 1092	  157	-74,18	  328
   25	 0,47	 0,45	-0,02	 1024	  131	-75,83	  326
   26	 0,48	 0,46	-0,02	 1042	  132	-77,57	  325
   27	 0,46	 0,44	-0,02	 1001	  124	-80,09	  326
   28	 0,41	 0,38	-0,03	  856	   62	-98,78	  335
   29	  0,4	 0,37	-0,03	  849	   52	-97,9	  336
   30	 0,42	 0,39	-0,02	  872	   65	-99,16	  336
   31	 0,36	 0,34	-0,02	  757	   38	-111,72	  347
   32	 0,38	 0,35	-0,03	  737	   37	-110,66	  349
   33	  0,4	 0,37	-0,03	  749	   46	-111,08	  349
   34	 0,33	 0,32	-0,01	  717	   27	-116,4	  340
   35	 0,32	 0,31	-0,01	  710	   29	-117,68	  340
   36	 0,33	 0,32	-0,01	  715	   23	-120,44	  340
