No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 0,27	 0,23	-0,04	  536	    1	-171,03	  340
    2	 0,26	 0,22	-0,03	  535	    0	-173,7	  340
    3	 0,25	 0,22	-0,03	  555	    3	-180,56	  339
    4	 0,41	 0,37	-0,04	  846	   65	-100,17	  364
    5	 0,41	 0,37	-0,03	  854	   62	-99,79	  364
    6	 0,42	 0,38	-0,04	  858	   73	-97,9	  364
    7	 0,53	  0,5	-0,03	 1180	  202	-64,55	  378
    8	 0,55	 0,51	-0,03	 1213	  223	-63,85	  373
    9	 0,52	 0,49	-0,03	 1207	  240	-63,27	  379
   10	 0,75	 0,72	-0,02	 1943	  613	-16,92	  341
   11	 0,69	 0,66	-0,03	 1942	  622	-16,52	  341
   12	 0,71	 0,67	-0,03	 1929	  602	-14,26	  341
   13	 0,88	 0,85	-0,03	 2340	 1066	15,84	  347
   14	 0,82	 0,79	-0,03	 2381	 1093	16,44	  345
   15	 0,96	 0,93	-0,03	 2416	 1178	20,53	  345
   16	 0,96	 0,93	-0,04	 2636	 1420	50,78	  339
   17	 1,01	 0,98	-0,03	 2665	 1447	50,47	  336
   18	 0,93	  0,9	-0,03	 2644	 1409	46,23	  335
   19	 1,03	 0,99	-0,04	 2520	 1316	35,13	  353
   20	 1,01	 0,98	-0,03	 2520	 1318	33,11	  355
   21	 0,99	 0,97	-0,03	 2490	 1371	30,15	  357
