No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 2,23	  2,2	-0,03	 6721	 2433	  197	  253
    2	 2,26	 2,22	-0,03	 5828	 1959	  126	  256
    3	 2,24	 1,99	-0,26	 5365	 1553	-1064	  251
    4	 1,76	 1,72	-0,04	 4627	 1295	-5194	  250
    5	 1,92	 1,92	   -0	 4330	 1152	   52	  255
    6	  1,5	 1,49	-0,02	 4174	 1090	   94	  249
    7	 1,82	  1,8	-0,02	 4072	 1006	   28	  252
    8	 1,85	 1,83	-0,02	 3817	  848	   16	  251
    9	 0,69	 0,69	    0	 2899	  238	  -27	  191
   10	  0,7	 0,73	 0,03	 2503	  113	  -75	  179
   11	 1,17	 1,16	-0,01	 3973	  866	   17	  233
   12	 1,28	 1,28	   -0	 3764	  854	   19	  248
   13	 1,86	 1,84	-0,02	 4076	 1033	   29	  252
   14	  1,8	 1,78	-0,02	 4016	 1001	   26	  254
   15	 1,99	 1,98	-0,01	 4137	 1015	   32	  253
   16	 1,87	 1,85	-0,02	 3872	  830	  -12	  253
   17	 1,23	 1,22	-0,01	 3654	  788	   14	  249
   18	 1,52	 1,51	-0,02	 3420	  609	    1	  252
   19	 1,04	 1,04	    0	 3412	  570	   -1	  236
   20	 1,14	 1,13	-0,01	 3246	  547	   -8	  248
   21	 1,49	 1,38	-0,11	 3268	  402	 -196	  248
