No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	 1,98	 1,99	 0,02	 6799	 1663	    6	  233
    2	 1,99	 2,01	 0,03	 6758	 1657	    6	  231
    3	 1,91	 1,93	 0,02	 6747	 1631	    6	  232
    4	 1,95	 1,98	 0,03	 6866	 1683	    6	  230
    5	 1,89	 1,92	 0,03	 6827	 1681	    7	  229
    6	 1,93	 1,96	 0,03	 6887	 1676	    9	  227
    7	 1,95	 1,98	 0,03	 6883	 1696	    9	  227
    8	 1,97	 1,99	 0,02	 6928	 1715	   11	  227
    9	 1,95	 1,97	 0,02	 6952	 1727	   10	  227
   10	 2,02	 2,04	 0,02	 6938	 1744	    9	  226
