No.	AMP	Hi_L	Low_L	INT	COUNT	Si[MPa]	Quality
    1	  1,2	 1,14	-0,06	 4275	 1645	   35	  279
    2	 2,22	 2,17	-0,04	 4450	 1178	   48	  250
    3	 1,17	 1,12	-0,05	 3745	  939	   12	  267
    4	 1,62	 1,58	-0,04	 3963	 1055	   21	  272
    5	 1,47	 1,42	-0,04	 3927	 1117	   16	  287
    6	 1,29	 1,28	-0,01	 4060	  956	   29	  260
    7	 1,22	  1,2	-0,02	 3862	  890	   21	  252
    8	 1,33	  1,3	-0,03	 3831	  823	   18	  249
    9	 1,36	 1,35	-0,01	 3870	  843	   16	  252
   10	 1,36	 1,36	-0,01	 3840	  812	   18	  248
